"NGAsubRSN","NGAsubEQID","NGAsubSSN"
2000042,2000004,2000103
2000043,2000004,2000104
2000044,2000004,2000105
2000045,2000004,2000106
2000046,2000004,2000107
2000047,2000004,2000108
2000048,2000004,2000109
2000049,2000004,2000110
2000050,2000004,2000111
2000051,2000004,2000112
2000052,2000004,2000113
2000053,2000004,2000114
2000054,2000004,2000115
2000055,2000004,2000116
2000056,2000004,2000117
2000057,2000004,2000118
2000058,2000004,2000119
2000059,2000004,2000120
2000060,2000004,2000121
2000061,2000004,2000122
2000062,2000004,2000123
2000063,2000004,2000124
2000064,2000004,2000125
2000065,2000004,2000126
2000066,2000004,2000127
2000067,2000004,2000128
2000068,2000004,2000129
2000069,2000004,2000130
2000070,2000004,2000131
2000071,2000004,2000132
2000072,2000004,2000133
2000073,2000004,2000134
2000074,2000004,2000135
2000075,2000004,2000136
2000076,2000004,2000137
2000077,2000004,2000138
2000078,2000004,2000139
2000079,2000004,2000140
2000080,2000004,2000066
2000081,2000004,2000141
2000082,2000004,2000142
2000083,2000004,2000143
2000084,2000004,2000067
2000085,2000004,2000144
2000087,2000004,2000146
2000090,2000004,2000149
2000092,2000004,2000151
2000094,2000004,2000153
2000096,2000004,2000155
2000098,2000004,2000157
2000119,2000005,2000173
2000128,2000005,2000175
2000134,2000004,2000184
2000135,2000004,2000179
2000137,2000004,2000175
2000139,2000004,2000186
2000140,2000008,2000187
2000165,2000010,2000196
2000167,2000010,2000197
2000168,2000010,2000187
2000277,2000013,2000196
2000300,2000013,2000271
2000353,2000013,2000315
2000354,2000013,2000227
2000362,2000013,2000229
2000363,2000013,2000322
2000374,2000013,2000333
2000375,2000013,2000334
2000382,2000013,2000341
2000383,2000013,2000342
2000384,2000013,2000343
2000385,2000013,2000344
2000393,2000013,2000352
2000394,2000013,2000353
2000395,2000013,2000354
2000403,2000013,2000362
2000404,2000013,2000363
2000405,2000013,2000364
2000420,2000013,2000379
2000421,2000013,2000380
2000437,2000013,2000396
2000445,2000013,2000404
2000453,2000013,2000412
2000454,2000013,2000413
2000461,2000013,2000420
2000462,2000013,2000421
2000472,2000013,2000431
2000512,2000013,2000470
2000517,2000013,2000472
2000518,2000013,2000184
2000527,2000013,2000230
2000530,2000013,2000186
2000541,2000013,2000203
2000542,2000013,2000195
2000544,2000014,2000173
2000552,2000014,2000094
2000554,2000014,2000479
2000565,2000014,2000101
2000566,2000014,2000191
2000567,2000014,2000475
2000568,2000014,2000486
2000569,2000014,2000487
2000572,2000014,2000489
2000573,2000014,2000476
2000574,2000014,2000108
2000575,2000014,2000490
2000576,2000014,2000491
2000577,2000014,2000492
2000578,2000014,2000136
2000580,2000014,2000238
2000582,2000014,2000192
2000596,2000014,2000501
2000597,2000014,2000203
2000598,2000014,2000195
2000599,2000014,2000502
2000601,2000014,2000504
2000602,2000014,2000505
2000603,2000014,2000477
2000605,2000014,2000507
2000606,2000015,2000508
2000622,2000015,2000510
2000646,2000015,2000515
2000648,2000015,2000517
2000649,2000015,2000518
2000653,2000015,2000223
2000654,2000015,2000310
2000655,2000015,2000522
2000658,2000015,2000525
2000662,2000015,2000317
2000664,2000015,2000528
2000673,2000015,2000470
2000674,2000015,2000184
2000675,2000015,2000179
2000676,2000015,2000202
2000677,2000015,2000175
2000678,2000015,2000230
2000679,2000015,2000231
2000680,2000015,2000092
2000681,2000015,2000232
2000682,2000015,2000233
2000683,2000015,2000234
2000684,2000015,2000132
2000685,2000015,2000479
2000687,2000015,2000095
2000688,2000015,2000533
2000689,2000015,2000483
2000690,2000015,2000097
2000691,2000015,2000484
2000692,2000015,2000099
2000693,2000015,2000235
2000694,2000015,2000236
2000695,2000015,2000100
2000696,2000015,2000534
2000697,2000015,2000101
2000698,2000015,2000535
2000699,2000015,2000191
2000700,2000015,2000237
2000701,2000015,2000102
2000704,2000015,2000536
2000705,2000015,2000489
2000706,2000015,2000105
2000707,2000015,2000106
2000708,2000015,2000107
2000709,2000015,2000537
2000710,2000015,2000109
2000711,2000015,2000491
2000712,2000015,2000110
2000713,2000015,2000136
2000714,2000015,2000238
2000715,2000015,2000239
2000716,2000015,2000240
2000718,2000015,2000111
2000719,2000015,2000242
2000720,2000015,2000243
2000721,2000015,2000112
2000722,2000015,2000244
2000723,2000015,2000114
2000724,2000015,2000193
2000725,2000015,2000497
2000726,2000015,2000194
2000727,2000015,2000498
2000728,2000015,2000115
2000729,2000015,2000116
2000730,2000015,2000117
2000732,2000015,2000538
2000733,2000015,2000118
2000734,2000015,2000246
2000735,2000015,2000119
2000736,2000015,2000120
2000737,2000015,2000122
2000739,2000015,2000125
2000740,2000015,2000248
2000742,2000015,2000249
2000743,2000015,2000126
2000744,2000015,2000140
2000745,2000015,2000250
2000746,2000015,2000501
